ExperimentNumber,WorkloadNumber,RequestId,J,UserClass,Policy,CloudDeploymentModel,CloudletId,TaskType,CloudletLength,CloudletStatusString,SubmissionTime,ExecStartTime,FinalExecTime,FinishTime,InstanceVmId,VmType
               1,             1,        5,J={9-2},     GOLD,LFFCost,              Hybrid,        12,     Map,         10000,             Success,          1.10,         1.10,        17.62,     18.72,           5,large-aws-us-east-1
               1,             1,        5,J={9-2},     GOLD,LFFCost,              Hybrid,        15,     Map,         10000,             Success,          1.10,         1.10,        17.62,     18.72,           6,large-aws-us-east-1
               1,             1,        5,J={9-2},     GOLD,LFFCost,              Hybrid,        16,     Map,         10000,             Success,          1.10,         1.10,        17.62,     18.72,           7,large-aws-us-east-1
               1,             1,        5,J={9-2},     GOLD,LFFCost,              Hybrid,        17,     Map,         10000,             Success,          1.10,         1.10,        17.62,     18.72,           8,large-aws-us-east-1
               1,             1,        5,J={9-2},     GOLD,LFFCost,              Hybrid,        18,     Map,         10000,             Success,          1.10,         1.10,        17.62,     18.72,           9,large-aws-us-east-1
               1,             1,        5,J={9-2},     GOLD,LFFCost,              Hybrid,        19,     Map,         10000,             Success,          1.10,         1.10,        17.62,     18.72,          10,large-aws-us-east-1
               1,             1,        5,J={9-2},     GOLD,LFFCost,              Hybrid,        20,     Map,         10000,             Success,          1.10,         1.10,        17.62,     18.72,          11,large-aws-us-east-1
               1,             1,        5,J={9-2},     GOLD,LFFCost,              Hybrid,        21,     Map,         10000,             Success,          1.10,         1.10,        17.62,     18.72,          12,large-aws-us-east-1
               1,             1,        5,J={9-2},     GOLD,LFFCost,              Hybrid,        22,     Map,         10000,             Success,          1.10,         1.10,        17.62,     18.72,          13,large-aws-us-east-1
               1,             1,        5,J={9-2},     GOLD,LFFCost,              Hybrid,        13,  Reduce,          5000,             Success,         18.72,        18.72,         6.25,     24.97,           5,large-aws-us-east-1
               1,             1,        5,J={9-2},     GOLD,LFFCost,              Hybrid,        14,  Reduce,          1000,             Success,         18.72,        18.72,         1.25,     19.97,           6,large-aws-us-east-1
               1,             2,        9,J={9-2},     GOLD,BruteForceCost,              Hybrid,        23,     Map,         10000,             Success,          1.10,         1.10,        17.62,     18.72,          53,large-aws-us-east-1
               1,             2,        9,J={9-2},     GOLD,BruteForceCost,              Hybrid,        26,     Map,         10000,             Success,          1.10,        18.72,        12.50,     31.22,          53,large-aws-us-east-1
               1,             2,        9,J={9-2},     GOLD,BruteForceCost,              Hybrid,        27,     Map,         10000,             Success,          1.10,        31.22,        12.50,     43.72,          53,large-aws-us-east-1
               1,             2,        9,J={9-2},     GOLD,BruteForceCost,              Hybrid,        28,     Map,         10000,             Success,          1.10,        43.72,        12.50,     56.22,          53,large-aws-us-east-1
               1,             2,        9,J={9-2},     GOLD,BruteForceCost,              Hybrid,        29,     Map,         10000,             Success,          1.10,        56.22,        12.50,     68.72,          53,large-aws-us-east-1
               1,             2,        9,J={9-2},     GOLD,BruteForceCost,              Hybrid,        30,     Map,         10000,             Success,          1.10,        68.72,        12.50,     81.22,          53,large-aws-us-east-1
               1,             2,        9,J={9-2},     GOLD,BruteForceCost,              Hybrid,        31,     Map,         10000,             Success,          1.10,        81.22,        12.50,     93.72,          53,large-aws-us-east-1
