Deadline,110.0,120.0,130.0,140.0,150.0,160.0,170.0,180.0,190.0,200.0,210.0,220.0,230.0,240.0,
LFFCost,-1,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
BruteForceCost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1.15,1.15,1.15,
BacktrackingCost,-1,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,
BacktrackingCostPerf,-1,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,-1,
BacktrackingMultiCost,-1,1.15,1.15,1.15,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
