Deadline,120.0,130.0,140.0,150.0,160.0,170.0,180.0,190.0,200.0,210.0,220.0,230.0,240.0,250.0,260.0,270.0,280.0,290.0,300.0,310.0,
LFFCost,5,2,2,2,0,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,
BTCost,180002,180000,180000,180000,180012,180011,180013,180002,180013,180009,0,0,0,0,0,0,0,0,0,1,
BBCost,180004,180001,180001,180001,6349,6253,6323,6368,6287,6331,180001,180007,180001,180009,180001,189,200,220,204,207,
BBCostPerf,213,154,173,120001,1,1,1,1,1,1,120002,120000,120000,120000,120000,1,2,2,2,2,
BBMultiCost,3,1,1,1,2,1,1,1,1,1,120001,1,1,1,1,1,1,1,1,1,
BBDecision,5,2,2,2,3,2,2,2,2,2,3,2,4,2,2,3,2,2,3,2,
