           Time,  CLOUDLET_MIPS,       USED_RAM,   CLOUDLET_RAM
              0,       299.9804,       1.795946,        1.86878
             60,       282.7076,       1.805059,       1.863074
            120,       229.3743,       1.800937,       1.861607
            180,        296.041,       1.810757,       1.865438
            240,       293.9197,       1.808063,       1.866661
            300,       297.8591,       1.808309,       1.858693
            360,       355.1319,       1.800027,       1.863135
            420,       357.8591,       1.796092,       1.864154
            480,        336.344,        1.79776,       1.868617
            540,       397.8591,       1.811038,       1.862708
            600,       425.1319,       1.804898,         1.8591
            660,       383.6167,       1.804305,       1.868271
            720,       480.8894,       1.802548,       1.872428
            780,       439.0713,       1.802136,       1.873855
            840,       463.9197,       1.806582,       1.881049
            900,       644.5258,       1.797884,       1.883046
            960,       757.8591,       1.801908,       1.886653
           1020,       657.2531,        1.78269,       1.881151
           1080,       485.7379,       1.774702,       1.877238
           1140,       279.9804,       1.761589,       1.874548
           1200,       133.6167,       1.749482,       1.868577
           1260,       14.22278,       1.748979,       1.869249
