      time;   vmId;percentCPU; percentIO;percentRAM
      0.01;      2;      0.00;      0.00;      0.00
      0.01;      1;      0.00;      0.00;      0.00
      0.51;      2;      0.00;      0.00;      0.00
      0.51;      1;      0.00;      0.00;      0.00
      1.01;      2;      0.00;      0.00;      0.00
      1.01;      1;      0.00;      0.00;      0.00
      1.51;      2;      0.00;      0.00;      0.00
      1.51;      1;      0.00;      0.00;      0.00
      2.01;      2;      0.00;      0.00;      0.00
      2.01;      1;      0.00;      0.00;      0.00
      2.51;      2;      0.00;      0.00;      0.00
      2.51;      1;      0.00;      0.00;      0.00
      3.01;      2;      0.00;      0.00;      0.00
      3.01;      1;      0.00;      0.00;      0.00
      3.51;      2;      0.00;      0.00;      0.00
      3.51;      1;      0.00;      0.00;      0.00
      4.01;      2;      0.00;      0.00;      0.00
      4.01;      1;      0.00;      0.00;      0.00
      4.51;      2;      0.00;      0.00;      0.00
      4.51;      1;      0.00;      0.00;      0.00
      5.01;      2;    100.00;      0.00;      1.16
      5.01;      1;     75.00;      1.00;      0.03
      5.51;      2;    100.00;      0.00;      1.16
      5.51;      1;     75.00;      1.00;      0.03
      6.01;      2;    100.00;      0.00;      1.16
      6.01;      1;      0.00;      0.00;      0.00
      6.51;      2;      0.00;      0.00;      0.00
      6.51;      1;      0.00;      0.00;      0.00
      7.01;      2;      0.00;      0.00;      0.00
      7.01;      1;      0.00;      0.00;      0.00
      7.51;      2;      0.00;      0.00;      0.00
      7.51;      1;      0.00;      0.00;      0.00
      8.01;      2;      0.00;      0.00;      0.00
      8.01;      1;      0.00;      0.00;      0.00
      8.51;      2;      0.00;      0.00;      0.00
      8.51;      1;      0.00;      0.00;      0.00
      9.01;      2;      0.00;      0.00;      0.00
      9.01;      1;      0.00;      0.00;      0.00
      9.51;      2;      0.00;      0.00;      0.00
      9.51;      1;      0.00;      0.00;      0.00
     10.01;      2;     72.00;      0.00;      1.19
     10.01;      1;     82.00;      1.00;      0.03
     10.51;      2;     72.00;      0.00;      1.19
     10.51;      1;     82.00;      1.00;      0.03
     11.01;      2;      0.00;      0.00;      0.00
     11.01;      1;      0.00;      0.00;      0.00
     11.51;      2;      0.00;      0.00;      0.00
     11.51;      1;      0.00;      0.00;      0.00
     12.01;      2;      0.00;      0.00;      0.00
     12.01;      1;      0.00;      0.00;      0.00
     12.51;      2;      0.00;      0.00;      0.00
     12.51;      1;      0.00;      0.00;      0.00
     13.01;      2;      0.00;      0.00;      0.00
     13.01;      1;      0.00;      0.00;      0.00
     13.51;      2;      0.00;      0.00;      0.00
     13.51;      1;      0.00;      0.00;      0.00
     14.01;      2;      0.00;      0.00;      0.00
     14.01;      1;      0.00;      0.00;      0.00
     14.51;      2;      0.00;      0.00;      0.00
     14.51;      1;      0.00;      0.00;      0.00
     15.01;      2;     70.00;      0.00;      1.31
     15.01;      1;     63.00;      1.00;      0.04
     15.51;      2;     70.00;      0.00;      1.31
     15.51;      1;     63.00;      1.00;      0.04
     16.01;      2;      0.00;      0.00;      0.00
     16.01;      1;      0.00;      0.00;      0.00
     16.51;      2;      0.00;      0.00;      0.00
     16.51;      1;      0.00;      0.00;      0.00
     17.01;      2;      0.00;      0.00;      0.00
     17.01;      1;      0.00;      0.00;      0.00
     17.51;      2;      0.00;      0.00;      0.00
     17.51;      1;      0.00;      0.00;      0.00
     18.01;      2;      0.00;      0.00;      0.00
     18.01;      1;      0.00;      0.00;      0.00
     18.51;      2;      0.00;      0.00;      0.00
     18.51;      1;      0.00;      0.00;      0.00
     19.01;      2;      0.00;      0.00;      0.00
     19.01;      1;      0.00;      0.00;      0.00
     19.51;      2;      0.00;      0.00;      0.00
     19.51;      1;      0.00;      0.00;      0.00
     20.01;      2;     68.00;      0.00;      1.35
     20.01;      1;     83.00;      1.00;      0.04
     20.51;      2;     68.00;      0.00;      1.35
     20.51;      1;     83.00;      1.00;      0.04
     21.01;      2;      0.00;      0.00;      0.00
     21.01;      1;      0.00;      0.00;      0.00
     21.51;      2;      0.00;      0.00;      0.00
     21.51;      1;      0.00;      0.00;      0.00
     22.01;      2;      0.00;      0.00;      0.00
     22.01;      1;      0.00;      0.00;      0.00
     22.51;      2;      0.00;      0.00;      0.00
     22.51;      1;      0.00;      0.00;      0.00
     23.01;      2;      0.00;      0.00;      0.00
     23.01;      1;      0.00;      0.00;      0.00
     23.51;      2;      0.00;      0.00;      0.00
     23.51;      1;      0.00;      0.00;      0.00
     24.01;      2;      0.00;      0.00;      0.00
     24.01;      1;      0.00;      0.00;      0.00
     24.51;      2;      0.00;      0.00;      0.00
     24.51;      1;      0.00;      0.00;      0.00
     25.01;      2;     75.00;      0.00;      1.52
     25.01;      1;     74.00;      1.00;      0.04
     25.51;      2;     75.00;      0.00;      1.52
     25.51;      1;     74.00;      1.00;      0.04
     26.01;      2;      0.00;      0.00;      0.00
     26.01;      1;      0.00;      0.00;      0.00
     26.51;      2;      0.00;      0.00;      0.00
     26.51;      1;      0.00;      0.00;      0.00
     27.01;      2;      0.00;      0.00;      0.00
     27.01;      1;      0.00;      0.00;      0.00
     27.51;      2;      0.00;      0.00;      0.00
     27.51;      1;      0.00;      0.00;      0.00
     28.01;      2;      0.00;      0.00;      0.00
     28.01;      1;      0.00;      0.00;      0.00
     28.51;      2;      0.00;      0.00;      0.00
     28.51;      1;      0.00;      0.00;      0.00
     29.01;      2;      0.00;      0.00;      0.00
     29.01;      1;      0.00;      0.00;      0.00
     29.51;      2;      0.00;      0.00;      0.00
     29.51;      1;      0.00;      0.00;      0.00
     30.01;      2;     70.00;      0.00;      1.33
     30.01;      1;     78.00;      1.00;      0.04
     30.51;      2;     70.00;      0.00;      1.33
     30.51;      1;     78.00;      1.00;      0.04
     31.01;      2;      0.00;      0.00;      0.00
     31.01;      1;      0.00;      0.00;      0.00
     31.51;      2;      0.00;      0.00;      0.00
     31.51;      1;      0.00;      0.00;      0.00
     32.01;      2;      0.00;      0.00;      0.00
     32.01;      1;      0.00;      0.00;      0.00
