SessionId;AppVmId;ReadableStartTime; StartTime;FinishTime;  IdealEnd;     Delay;Complete
        3;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
        4;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
        5;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
        6;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
        7;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
        8;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
        9;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       10;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       11;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       12;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       13;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       14;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       15;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       16;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       17;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       18;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       19;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       20;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       21;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       22;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       23;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       24;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       25;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       26;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       27;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       28;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       29;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       30;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       31;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       32;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       33;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       34;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       35;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       36;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       37;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       38;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       39;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       40;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       41;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       42;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       43;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       44;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       45;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       46;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       47;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       48;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
       49;      2;    0:  0:  0:  5;      5.00;    417.46;    380.00;     37.46;    true
