           Time,  CLOUDLET_MIPS,       USED_RAM,   CLOUDLET_RAM,    CLOUDLET_IO
              0,         35.575,        2.50559,        0.15309,          1.029
              5,         80.605,        2.19026,      0.1814161,         8.3075
             10,          24.24,       2.044998,      0.2067965,          0.203
             15,           5.63,       2.049794,      0.2082088,              0
             20,         10.145,       2.095404,      0.2314104,          1.618
             25,          5.135,       1.986645,      0.2634891,              0
             30,          29.46,       1.875895,      0.2410542,            0.2
             35,           6.63,       1.852002,      0.2540874,          0.805
             40,          10.53,       1.850682,      0.2712767,              0
             45,         10.065,       1.809291,      0.2841889,           0.51
             50,          15.95,       1.804652,      0.2860854,         0.1485
             55,         43.255,       1.568907,      0.2935099,          0.864
             60,          10.15,       1.557819,       0.295366,              0
             65,           8.22,       1.557555,       0.295366,              0
             70,         13.065,       1.557555,       0.295366,              0
             75,           5.73,       1.557555,       0.295366,              0
             80,          10.67,       1.579466,      0.3070677,            0.1
             85,          10.57,       1.579202,      0.3290183,          0.703
             90,         41.875,       1.721925,      0.4935275,         0.6565
             95,          5.535,       4.420336,       1.640895,              0
            100,           6.15,       7.251454,       1.088174,          0.306
            105,         10.555,       7.270489,       1.085026,          0.102
            110,           5.55,       7.195849,       1.097737,          0.102
            115,         10.135,       7.218303,       1.084623,              0
            120,         12.515,       7.218303,       1.084623,              0
            125,          6.135,       7.220201,       1.083816,              0
            130,          10.26,       7.293985,       1.057951,           0.35
            135,         69.105,        7.49779,       1.120979,          1.253
            140,          7.585,       7.501657,       1.122552,              0
            145,         23.395,       7.497485,       1.122552,          0.464
            150,          8.695,       7.492936,       1.106614,         0.0505
            155,         16.035,       7.490726,       1.106412,          0.101
            160,           9.62,       7.490284,       1.106412,              0
            165,          11.57,       7.497135,       1.092007,              0
            170,            5.6,       7.524537,       1.075746,         0.0505
            175,          13.88,       7.555475,        1.06126,          0.051
            180,         13.625,       7.555663,       1.061219,              0
            185,         11.065,       7.555475,       1.061219,              0
            190,          7.695,       7.555475,       1.061219,              0
            195,          5.595,       7.555475,       1.061219,              0
            200,          11.62,       7.608891,       1.061825,              0
            205,          6.155,       7.626001,       1.066868,              0
            210,           9.12,       7.626001,       1.066868,              0
            215,         12.605,       7.682449,       1.053835,            0.1
            220,         20.105,       7.689652,       1.052342,          0.153
            225,         22.875,       7.682151,       1.052342,         0.4545
            230,           5.14,       7.680827,       1.052342,              0
            235,          4.215,       7.680827,       1.052342,              0
            240,         10.565,       7.680827,       1.052342,              0
            245,          6.125,       7.680827,       1.052342,              0
            250,          11.08,       7.711052,       1.037856,           0.05
            255,          15.51,       7.708846,       1.037816,           0.15
            260,          5.135,       7.708405,       1.037816,              0
            265,          5.555,       7.708405,       1.037816,              0
            270,         10.595,       7.708405,       1.037816,              0
            275,         11.115,       7.708405,       1.037816,              0
            280,         34.905,       7.748337,        1.05327,          0.102
            285,            1.9,       7.915786,       1.129412,              0
            290,           5.24,       7.915786,       1.129412,              0
            295,           6.08,       7.915786,       1.129412,              0
            300,           4.64,       7.915786,       1.129412,              0
            305,           5.62,       7.915786,       1.129412,              0
            310,          13.22,       7.915565,       1.129412,           0.15
            315,          5.125,        7.91358,       1.129412,              0
            320,           5.59,        7.91358,       1.129412,              0
            325,          4.605,        7.91358,       1.129412,              0
            330,           2.29,        7.91358,       1.129412,              0
            335,              1,        7.91358,       1.129412,              0
