      time;   vmId;percentCPU; percentIO;percentRAM
      0.01;      2;      0.00;      0.00;      0.00
      0.01;      1;      0.00;      0.00;      0.00
      1.01;      2;      0.00;      0.00;      0.00
      1.01;      1;      0.00;      0.00;      0.00
      2.01;      2;      0.00;      0.00;      0.00
      2.01;      1;      0.00;      0.00;      0.00
      3.01;      2;      0.00;      0.00;      0.00
      3.01;      1;      0.00;      0.00;      0.00
      4.01;      2;      0.00;      0.00;      0.00
      4.01;      1;      0.00;      0.00;      0.00
      5.01;      2;    100.00;      0.00;      1.41
      5.01;      1;    100.00;      2.50;      0.10
      6.01;      2;    100.00;      0.00;      1.41
      6.01;      1;    100.00;      2.50;      0.10
      7.01;      2;    100.00;      0.00;      1.41
      7.01;      1;    100.00;      2.50;      0.10
      8.01;      2;    100.00;      0.00;      1.41
      8.01;      1;      0.00;      0.00;      0.00
      9.01;      2;      0.00;      0.00;      0.00
      9.01;      1;      0.00;      0.00;      0.00
     10.01;      2;    100.00;      0.00;      2.02
     10.01;      1;    100.00;      2.50;      0.13
     11.01;      2;    100.00;      0.00;      2.02
     11.01;      1;    100.00;      2.50;      0.13
     12.01;      2;    100.00;      0.00;      2.02
     12.01;      1;    100.00;      2.50;      0.13
     13.01;      2;      0.00;      0.00;      0.00
     13.01;      1;      0.00;      0.00;      0.00
     14.01;      2;      0.00;      0.00;      0.00
     14.01;      1;      0.00;      0.00;      0.00
     15.01;      2;    100.00;      0.00;      2.90
     15.01;      1;    100.00;      2.50;      0.14
     16.01;      2;    100.00;      0.00;      2.90
     16.01;      1;    100.00;      2.50;      0.14
     17.01;      2;    100.00;      0.00;      2.90
     17.01;      1;      0.00;      0.00;      0.00
     18.01;      2;      0.00;      0.00;      0.00
     18.01;      1;      0.00;      0.00;      0.00
     19.01;      2;      0.00;      0.00;      0.00
     19.01;      1;      0.00;      0.00;      0.00
     20.01;      2;    100.00;      0.00;      2.99
     20.01;      1;    100.00;      2.50;      0.15
     21.01;      2;    100.00;      0.00;      2.99
     21.01;      1;    100.00;      2.50;      0.15
     22.01;      2;    100.00;      0.00;      2.99
     22.01;      1;    100.00;      2.50;      0.15
     23.01;      2;      0.00;      0.00;      0.00
     23.01;      1;      0.00;      0.00;      0.00
     24.01;      2;      0.00;      0.00;      0.00
     24.01;      1;      0.00;      0.00;      0.00
     25.01;      2;    100.00;      0.00;      3.13
     25.01;      1;    100.00;      2.50;      0.15
     26.01;      2;    100.00;      0.00;      3.13
     26.01;      1;    100.00;      2.50;      0.15
     27.01;      2;    100.00;      0.00;      3.13
     27.01;      1;      0.00;      0.00;      0.00
     28.01;      2;      0.00;      0.00;      0.00
     28.01;      1;      0.00;      0.00;      0.00
     29.01;      2;      0.00;      0.00;      0.00
     29.01;      1;      0.00;      0.00;      0.00
     30.01;      2;    100.00;      0.00;      3.28
     30.01;      1;    100.00;      2.50;      0.15
     31.01;      2;    100.00;      0.00;      3.28
     31.01;      1;    100.00;      2.50;      0.15
     32.01;      2;    100.00;      0.00;      3.28
     32.01;      1;    100.00;      2.50;      0.15
     33.01;      2;      0.00;      0.00;      0.00
     33.01;      1;      0.00;      0.00;      0.00
     34.01;      2;      0.00;      0.00;      0.00
     34.01;      1;      0.00;      0.00;      0.00
     35.01;      2;    100.00;      0.00;      3.38
     35.01;      1;    100.00;      2.50;      0.15
     36.01;      2;    100.00;      0.00;      3.38
     36.01;      1;    100.00;      2.50;      0.15
     37.01;      2;    100.00;      0.00;      3.38
     37.01;      1;    100.00;      2.50;      0.15
     38.01;      2;      0.00;      0.00;      0.00
     38.01;      1;      0.00;      0.00;      0.00
     39.01;      2;      0.00;      0.00;      0.00
     39.01;      1;      0.00;      0.00;      0.00
     40.01;      2;    100.00;      0.00;      3.47
     40.01;      1;    100.00;      2.50;      0.17
     41.01;      2;    100.00;      0.00;      3.47
     41.01;      1;    100.00;      2.50;      0.17
     42.01;      2;    100.00;      0.00;      3.47
     42.01;      1;    100.00;      2.50;      0.17
     43.01;      2;    100.00;      0.00;      3.47
     43.01;      1;      0.00;      0.00;      0.00
     44.01;      2;      0.00;      0.00;      0.00
     44.01;      1;      0.00;      0.00;      0.00
     45.01;      2;    100.00;      0.00;      3.56
     45.01;      1;    100.00;      2.50;      0.17
     46.01;      2;    100.00;      0.00;      3.56
     46.01;      1;    100.00;      2.50;      0.17
     47.01;      2;    100.00;      0.00;      3.56
     47.01;      1;      0.00;      0.00;      0.00
     48.01;      2;      0.00;      0.00;      0.00
     48.01;      1;      0.00;      0.00;      0.00
     49.01;      2;      0.00;      0.00;      0.00
     49.01;      1;      0.00;      0.00;      0.00
     50.01;      2;    100.00;      0.00;      3.64
     50.01;      1;    100.00;      2.50;      0.17
     51.01;      2;    100.00;      0.00;      3.64
     51.01;      1;    100.00;      2.50;      0.17
     52.01;      2;    100.00;      0.00;      3.64
     52.01;      1;    100.00;      2.50;      0.17
     53.01;      2;      0.00;      0.00;      0.00
     53.01;      1;      0.00;      0.00;      0.00
     54.01;      2;      0.00;      0.00;      0.00
     54.01;      1;      0.00;      0.00;      0.00
     55.01;      2;    100.00;      0.00;      3.74
     55.01;      1;    100.00;      2.50;      0.17
     56.01;      2;    100.00;      0.00;      3.74
     56.01;      1;    100.00;      2.50;      0.17
     57.01;      2;      0.00;      0.00;      0.00
     57.01;      1;      0.00;      0.00;      0.00
     58.01;      2;      0.00;      0.00;      0.00
     58.01;      1;      0.00;      0.00;      0.00
     59.01;      2;      0.00;      0.00;      0.00
     59.01;      1;      0.00;      0.00;      0.00
     60.01;      2;    100.00;      0.00;      3.81
     60.01;      1;    100.00;      2.50;      0.18
     61.01;      2;    100.00;      0.00;      3.81
     61.01;      1;    100.00;      2.50;      0.18
     62.01;      2;      0.00;      0.00;      0.00
     62.01;      1;      0.00;      0.00;      0.00
     63.01;      2;      0.00;      0.00;      0.00
     63.01;      1;      0.00;      0.00;      0.00
     64.01;      2;      0.00;      0.00;      0.00
     64.01;      1;      0.00;      0.00;      0.00
