      time;   vmId;percentCPU; percentIO;percentRAM
      0.01;      2;      0.00;      0.00;      0.00
      0.01;      1;      0.00;      0.00;      0.00
      1.01;      2;      0.00;      0.00;      0.00
      1.01;      1;      0.00;      0.00;      0.00
      2.01;      2;      0.00;      0.00;      0.00
      2.01;      1;      0.00;      0.00;      0.00
      3.01;      2;      0.00;      0.00;      0.00
      3.01;      1;      0.00;      0.00;      0.00
      4.01;      2;      0.00;      0.00;      0.00
      4.01;      1;      0.00;      0.00;      0.00
      5.01;      2;    100.00;      0.00;      1.69
      5.01;      1;    100.00;      3.00;      0.12
      6.01;      2;    100.00;      0.00;      1.69
      6.01;      1;    100.00;      3.00;      0.12
      7.01;      2;    100.00;      0.00;      1.69
      7.01;      1;    100.00;      3.00;      0.12
      8.01;      2;    100.00;      0.00;      1.69
      8.01;      1;    100.00;      3.00;      0.12
      9.01;      2;      0.00;      0.00;      0.00
      9.01;      1;      0.00;      0.00;      0.00
     10.01;      2;    100.00;      0.00;      2.43
     10.01;      1;    100.00;      3.00;      0.16
     11.01;      2;    100.00;      0.00;      2.43
     11.01;      1;    100.00;      3.00;      0.16
     12.01;      2;    100.00;      0.00;      2.43
     12.01;      1;    100.00;      3.00;      0.16
     13.01;      2;      0.00;      0.00;      0.00
     13.01;      1;      0.00;      0.00;      0.00
     14.01;      2;      0.00;      0.00;      0.00
     14.01;      1;      0.00;      0.00;      0.00
     15.01;      2;    100.00;      0.00;      3.48
     15.01;      1;    100.00;      3.00;      0.17
     16.01;      2;    100.00;      0.00;      3.48
     16.01;      1;    100.00;      3.00;      0.17
     17.01;      2;    100.00;      0.00;      3.48
     17.01;      1;    100.00;      3.00;      0.17
     18.01;      2;      0.00;      0.00;      0.00
     18.01;      1;      0.00;      0.00;      0.00
     19.01;      2;      0.00;      0.00;      0.00
     19.01;      1;      0.00;      0.00;      0.00
     20.01;      2;    100.00;      0.00;      3.58
     20.01;      1;    100.00;      3.00;      0.17
     21.01;      2;    100.00;      0.00;      3.58
     21.01;      1;    100.00;      3.00;      0.17
     22.01;      2;    100.00;      0.00;      3.58
     22.01;      1;    100.00;      3.00;      0.17
     23.01;      2;      0.00;      0.00;      0.00
     23.01;      1;      0.00;      0.00;      0.00
     24.01;      2;      0.00;      0.00;      0.00
     24.01;      1;      0.00;      0.00;      0.00
     25.01;      2;    100.00;      0.00;      3.76
     25.01;      1;    100.00;      3.00;      0.18
     26.01;      2;    100.00;      0.00;      3.76
     26.01;      1;    100.00;      3.00;      0.18
     27.01;      2;    100.00;      0.00;      3.76
     27.01;      1;      0.00;      0.00;      0.00
     28.01;      2;      0.00;      0.00;      0.00
     28.01;      1;      0.00;      0.00;      0.00
     29.01;      2;      0.00;      0.00;      0.00
     29.01;      1;      0.00;      0.00;      0.00
     30.01;      2;    100.00;      0.00;      3.94
     30.01;      1;    100.00;      3.00;      0.18
     31.01;      2;    100.00;      0.00;      3.94
     31.01;      1;    100.00;      3.00;      0.18
     32.01;      2;    100.00;      0.00;      3.94
     32.01;      1;    100.00;      3.00;      0.18
     33.01;      2;      0.00;      0.00;      0.00
     33.01;      1;    100.00;      3.00;      0.18
     34.01;      2;      0.00;      0.00;      0.00
     34.01;      1;      0.00;      0.00;      0.00
     35.01;      2;    100.00;      0.00;      4.05
     35.01;      1;    100.00;      3.00;      0.18
     36.01;      2;    100.00;      0.00;      4.05
     36.01;      1;    100.00;      3.00;      0.18
     37.01;      2;    100.00;      0.00;      4.05
     37.01;      1;    100.00;      3.00;      0.18
     38.01;      2;    100.00;      0.00;      4.05
     38.01;      1;      0.00;      0.00;      0.00
     39.01;      2;      0.00;      0.00;      0.00
     39.01;      1;      0.00;      0.00;      0.00
     40.01;      2;    100.00;      0.00;      4.17
     40.01;      1;    100.00;      3.00;      0.20
     41.01;      2;    100.00;      0.00;      4.17
     41.01;      1;    100.00;      3.00;      0.20
     42.01;      2;    100.00;      0.00;      4.17
     42.01;      1;    100.00;      3.00;      0.20
     43.01;      2;    100.00;      0.00;      4.17
     43.01;      1;    100.00;      3.00;      0.20
     44.01;      2;    100.00;      0.00;      4.17
     44.01;      1;      0.00;      0.00;      0.00
     45.01;      2;    100.00;      0.00;      4.27
     45.01;      1;    100.00;      3.00;      0.20
     46.01;      2;    100.00;      0.00;      4.27
     46.01;      1;    100.00;      3.00;      0.20
     47.01;      2;    100.00;      0.00;      4.27
     47.01;      1;      0.00;      0.00;      0.00
     48.01;      2;      0.00;      0.00;      0.00
     48.01;      1;      0.00;      0.00;      0.00
     49.01;      2;      0.00;      0.00;      0.00
     49.01;      1;      0.00;      0.00;      0.00
     50.01;      2;    100.00;      0.00;      4.37
     50.01;      1;    100.00;      3.00;      0.20
     51.01;      2;    100.00;      0.00;      4.37
     51.01;      1;    100.00;      3.00;      0.20
     52.01;      2;    100.00;      0.00;      4.37
     52.01;      1;    100.00;      3.00;      0.20
     53.01;      2;    100.00;      0.00;      4.37
     53.01;      1;      0.00;      0.00;      0.00
     54.01;      2;      0.00;      0.00;      0.00
     54.01;      1;      0.00;      0.00;      0.00
     55.01;      2;    100.00;      0.00;      4.48
     55.01;      1;    100.00;      3.00;      0.20
     56.01;      2;    100.00;      0.00;      4.48
     56.01;      1;    100.00;      3.00;      0.20
     57.01;      2;      0.00;      0.00;      0.00
     57.01;      1;    100.00;      3.00;      0.20
     58.01;      2;      0.00;      0.00;      0.00
     58.01;      1;      0.00;      0.00;      0.00
     59.01;      2;      0.00;      0.00;      0.00
     59.01;      1;      0.00;      0.00;      0.00
     60.01;      2;    100.00;      0.00;      4.57
     60.01;      1;    100.00;      3.00;      0.21
     61.01;      2;    100.00;      0.00;      4.57
     61.01;      1;    100.00;      3.00;      0.21
     62.01;      2;    100.00;      0.00;      4.57
     62.01;      1;      0.00;      0.00;      0.00
     63.01;      2;      0.00;      0.00;      0.00
     63.01;      1;      0.00;      0.00;      0.00
     64.01;      2;      0.00;      0.00;      0.00
     64.01;      1;      0.00;      0.00;      0.00
