      time;   vmId;percentCPU; percentIO;percentRAM
      0.01;      2;      0.00;      0.00;      0.00
      0.01;      1;      0.00;      0.00;      0.00
      1.01;      2;      0.00;      0.00;      0.00
      1.01;      1;      0.00;      0.00;      0.00
      2.01;      2;      0.00;      0.00;      0.00
      2.01;      1;      0.00;      0.00;      0.00
      3.01;      2;      0.00;      0.00;      0.00
      3.01;      1;      0.00;      0.00;      0.00
      4.01;      2;      0.00;      0.00;      0.00
      4.01;      1;      0.00;      0.00;      0.00
      5.01;      2;    100.00;      0.00;      0.56
      5.01;      1;    100.00;      1.00;      0.04
      6.01;      2;    100.00;      0.00;      0.56
      6.01;      1;    100.00;      1.00;      0.04
      7.01;      2;      0.00;      0.00;      0.00
      7.01;      1;      0.00;      0.00;      0.00
      8.01;      2;      0.00;      0.00;      0.00
      8.01;      1;      0.00;      0.00;      0.00
      9.01;      2;      0.00;      0.00;      0.00
      9.01;      1;      0.00;      0.00;      0.00
     10.01;      2;     94.00;      0.00;      0.81
     10.01;      1;     90.00;      1.00;      0.05
     11.01;      2;      0.00;      0.00;      0.00
     11.01;      1;      0.00;      0.00;      0.00
     12.01;      2;      0.00;      0.00;      0.00
     12.01;      1;      0.00;      0.00;      0.00
     13.01;      2;      0.00;      0.00;      0.00
     13.01;      1;      0.00;      0.00;      0.00
     14.01;      2;      0.00;      0.00;      0.00
     14.01;      1;      0.00;      0.00;      0.00
     15.01;      2;     99.00;      0.00;      1.16
     15.01;      1;     78.00;      1.00;      0.06
     16.01;      2;      0.00;      0.00;      0.00
     16.01;      1;      0.00;      0.00;      0.00
     17.01;      2;      0.00;      0.00;      0.00
     17.01;      1;      0.00;      0.00;      0.00
     18.01;      2;      0.00;      0.00;      0.00
     18.01;      1;      0.00;      0.00;      0.00
     19.01;      2;      0.00;      0.00;      0.00
     19.01;      1;      0.00;      0.00;      0.00
     20.01;      2;    100.00;      0.00;      1.19
     20.01;      1;     91.00;      1.00;      0.06
     21.01;      2;      0.00;      0.00;      0.00
     21.01;      1;      0.00;      0.00;      0.00
     22.01;      2;      0.00;      0.00;      0.00
     22.01;      1;      0.00;      0.00;      0.00
     23.01;      2;      0.00;      0.00;      0.00
     23.01;      1;      0.00;      0.00;      0.00
     24.01;      2;      0.00;      0.00;      0.00
     24.01;      1;      0.00;      0.00;      0.00
     25.01;      2;     83.00;      0.00;      1.25
     25.01;      1;     54.00;      1.00;      0.06
     26.01;      2;      0.00;      0.00;      0.00
     26.01;      1;      0.00;      0.00;      0.00
     27.01;      2;      0.00;      0.00;      0.00
     27.01;      1;      0.00;      0.00;      0.00
     28.01;      2;      0.00;      0.00;      0.00
     28.01;      1;      0.00;      0.00;      0.00
     29.01;      2;      0.00;      0.00;      0.00
     29.01;      1;      0.00;      0.00;      0.00
     30.01;      2;     89.00;      0.00;      1.31
     30.01;      1;    100.00;      1.00;      0.06
     31.01;      2;      0.00;      0.00;      0.00
     31.01;      1;    100.00;      1.00;      0.06
     32.01;      2;      0.00;      0.00;      0.00
     32.01;      1;      0.00;      0.00;      0.00
     33.01;      2;      0.00;      0.00;      0.00
     33.01;      1;      0.00;      0.00;      0.00
     34.01;      2;      0.00;      0.00;      0.00
     34.01;      1;      0.00;      0.00;      0.00
     35.01;      2;    100.00;      0.00;      1.35
     35.01;      1;     91.00;      1.00;      0.06
     36.01;      2;    100.00;      0.00;      1.35
     36.01;      1;      0.00;      0.00;      0.00
     37.01;      2;      0.00;      0.00;      0.00
     37.01;      1;      0.00;      0.00;      0.00
     38.01;      2;      0.00;      0.00;      0.00
     38.01;      1;      0.00;      0.00;      0.00
     39.01;      2;      0.00;      0.00;      0.00
     39.01;      1;      0.00;      0.00;      0.00
     40.01;      2;    100.00;      0.00;      1.39
     40.01;      1;    100.00;      1.00;      0.07
     41.01;      2;    100.00;      0.00;      1.39
     41.01;      1;    100.00;      1.00;      0.07
     42.01;      2;      0.00;      0.00;      0.00
     42.01;      1;      0.00;      0.00;      0.00
     43.01;      2;      0.00;      0.00;      0.00
     43.01;      1;      0.00;      0.00;      0.00
     44.01;      2;      0.00;      0.00;      0.00
     44.01;      1;      0.00;      0.00;      0.00
     45.01;      2;     94.00;      0.00;      1.42
     45.01;      1;     67.00;      1.00;      0.07
     46.01;      2;      0.00;      0.00;      0.00
     46.01;      1;      0.00;      0.00;      0.00
     47.01;      2;      0.00;      0.00;      0.00
     47.01;      1;      0.00;      0.00;      0.00
     48.01;      2;      0.00;      0.00;      0.00
     48.01;      1;      0.00;      0.00;      0.00
     49.01;      2;      0.00;      0.00;      0.00
     49.01;      1;      0.00;      0.00;      0.00
     50.01;      2;    100.00;      0.00;      1.46
     50.01;      1;     82.00;      1.00;      0.07
     51.01;      2;    100.00;      0.00;      1.46
     51.01;      1;      0.00;      0.00;      0.00
     52.01;      2;      0.00;      0.00;      0.00
     52.01;      1;      0.00;      0.00;      0.00
     53.01;      2;      0.00;      0.00;      0.00
     53.01;      1;      0.00;      0.00;      0.00
     54.01;      2;      0.00;      0.00;      0.00
     54.01;      1;      0.00;      0.00;      0.00
     55.01;      2;     65.00;      0.00;      1.49
     55.01;      1;     76.00;      1.00;      0.07
     56.01;      2;      0.00;      0.00;      0.00
     56.01;      1;      0.00;      0.00;      0.00
     57.01;      2;      0.00;      0.00;      0.00
     57.01;      1;      0.00;      0.00;      0.00
     58.01;      2;      0.00;      0.00;      0.00
     58.01;      1;      0.00;      0.00;      0.00
     59.01;      2;      0.00;      0.00;      0.00
     59.01;      1;      0.00;      0.00;      0.00
     60.01;      2;     69.00;      0.00;      1.52
     60.01;      1;     63.00;      1.00;      0.07
     61.01;      2;      0.00;      0.00;      0.00
     61.01;      1;      0.00;      0.00;      0.00
     62.01;      2;      0.00;      0.00;      0.00
     62.01;      1;      0.00;      0.00;      0.00
     63.01;      2;      0.00;      0.00;      0.00
     63.01;      1;      0.00;      0.00;      0.00
     64.01;      2;      0.00;      0.00;      0.00
     64.01;      1;      0.00;      0.00;      0.00
