           Time,  CLOUDLET_MIPS,       USED_RAM,   CLOUDLET_RAM
              0,       124.1333,     0.04486757,     0.02886409
              5,       94.23333,     0.05285809,     0.04142656
             10,       99.63333,      0.0840056,      0.0593691
             15,       100.3333,     0.08413146,     0.06114453
             20,       83.23333,      0.0950805,     0.06418427
             25,       89.33333,     0.09715704,     0.06719711
             30,       117.7333,     0.09174545,     0.06913393
             35,       138.9667,      0.0867114,     0.07112456
             40,           94.6,     0.08444297,     0.07295379
             45,       110.6333,     0.08456882,     0.07464851
             50,       65.96667,     0.08463174,     0.07650463
             55,             69,     0.08450589,     0.07798415
             60,       59.16667,     0.08230358,     0.07965198
             65,       79.53333,      0.0834362,      0.0812929
             70,       98.26667,      0.1082279,     0.07680054
             75,       122.8333,      0.1040121,     0.07852216
             80,       69.06667,     0.09992208,     0.08005548
             85,             69,     0.09608377,      0.0815888
             90,       91.16667,     0.09526576,     0.08328353
             96,           81.7,     0.09627254,     0.08527415
            100,       99.93333,     0.09520284,     0.08683437
            105,       72.26667,     0.09583207,      0.0884753
            110,          131.2,     0.09658715,     0.09008932
            115,           97.9,     0.09532869,     0.09189164
            120,       108.7333,     0.09413315,     0.09369397
            126,       64.93333,     0.09570623,     0.09520039
            131,       73.06667,     0.09891531,     0.09697581
            136,       214.6667,      0.0994187,     0.09869743
            141,       81.43333,      0.1000479,      0.1000963
            145,           95.3,       0.100803,      0.1017103
            151,       102.9333,      0.1009918,      0.1034857
            156,       106.8333,      0.1013693,      0.1050728
            161,             65,      0.1018098,      0.1066868
            166,       123.0333,       0.103257,      0.1124704
            171,           89.1,     0.09765685,      0.1144341
            176,             66,     0.09356684,      0.1158868
            181,           71.9,     0.08953975,      0.1174201
            186,           99.4,     0.08469466,      0.1191148
            191,       117.0667,     0.06452334,      0.1205405
            196,       90.43333,     0.05626443,      0.1221008
            201,       82.16667,     0.05777614,      0.1236341
            206,       82.33333,     0.05670387,      0.1251943
            211,       75.36667,     0.05619928,      0.1268083
            216,           72.4,     0.05632542,      0.1284223
            221,       64.83333,     0.05626235,      0.1298481
            226,       101.5667,     0.05556853,      0.1313007
            231,       81.43333,     0.05733461,       0.132834
            236,       114.6667,     0.05802843,      0.1345287
            241,           59.4,     0.06111908,      0.1364386
            246,           62.8,     0.06124523,      0.1379451
            251,          141.3,      0.0743647,      0.1415766
            256,       89.36667,     0.07934757,      0.1469298
            261,       85.83333,     0.07398625,      0.1486514
            266,       105.0667,     0.07013871,      0.1502385
            271,       88.03333,     0.06566043,      0.1519333
            276,       81.63333,     0.06174982,      0.1533859
            281,       68.63333,     0.05809151,       0.154704
            286,           50.5,      0.0591007,      0.1556455
            291,           47.5,      0.0591007,       0.156318
            296,       33.93333,     0.05689309,      0.1570712
            301,             24,     0.05714539,      0.1577168
            306,       36.96667,     0.05922685,      0.1582817
            311,       33.46667,     0.05727154,      0.1589542
            316,       26.66667,     0.05619928,      0.1591964
            321,       20.26667,     0.05683002,      0.1595461
            326,       20.43333,     0.05960529,      0.1599496
            331,             20,      0.0585961,      0.1601379
            336,       19.93333,     0.05771306,      0.1603262
            341,       10.36667,     0.03879075,      0.1472795
            346,             10,     0.03803385,      0.1473602
            351,              7,     0.03765541,      0.1474409
