experimentNumber,RequestId,J,UserClass,Policy,CloudDeploymentModel,     Id,Name,ExecutionTime,ExecutionCost,TasksIdAsString
               1,        5,J={9-2},     GOLD,MostDuplicatedBacktracking,              Hybrid,     41,openstack-micro,       100.00,         0.00,           [17]
               1,        5,J={9-2},     GOLD,MostDuplicatedBacktracking,              Hybrid,     40,openstack-micro,       100.00,         0.00,           [16]
               1,        5,J={9-2},     GOLD,MostDuplicatedBacktracking,              Hybrid,     43,openstack-micro,       100.00,         0.00,           [19]
               1,        5,J={9-2},     GOLD,MostDuplicatedBacktracking,              Hybrid,     42,openstack-micro,       100.00,         0.00,           [18]
               1,        5,J={9-2},     GOLD,MostDuplicatedBacktracking,              Hybrid,     45,openstack-micro,       100.00,         0.00,           [21]
               1,        5,J={9-2},     GOLD,MostDuplicatedBacktracking,              Hybrid,     44,openstack-micro,       100.00,         0.00,           [20]
               1,        5,J={9-2},     GOLD,MostDuplicatedBacktracking,              Hybrid,     46,openstack-micro,       100.00,         0.00,           [22]
               1,        5,J={9-2},     GOLD,MostDuplicatedBacktracking,              Hybrid,     38,openstack-micro,       160.00,         0.00,     [12-13-14]
               1,        5,J={9-2},     GOLD,MostDuplicatedBacktracking,              Hybrid,     39,openstack-micro,       100.00,         0.00,           [15]
