experimentNumber,     Id,J,UserClass,Policy,CloudDeploymentModel,Deadline,    Budget,ExecutionTime,      Cost,IsDeadlineViolated,IsBudgetViolated,NumberOfVMs,LogMessage
               4,     58,J={9-2},   BRONZE,LFFCost,              Public,     305,      4.50,        18.83,     10.35,No (286.16999999999996 seconds) earlier,YES! ($5.850000000000001) over budget,          9,          
               4,     59,J={50-1},   BRONZE,LFFCost,              Public,     501,      8.00,        75.00,     57.50,No (426.00000000000006 seconds) earlier,YES! ($49.49999999999995) over budget,         50,          
               4,     60,J={100-3},   BRONZE,LFFCost,              Public,     850,      5.00,        18.75,    115.00,No (831.25 seconds) earlier,YES! ($110.0000000000002) over budget,        100,          
               4,     61,J={50-1},     GOLD,LFFCost,              Public,     455,      2.00,        74.90,     57.50,No (380.1 seconds) earlier,YES! ($55.49999999999995) over budget,         50,          
               4,     62,J={100-3},     GOLD,LFFCost,              Public,     850,      5.00,        18.81,    115.00,No (831.19 seconds) earlier,YES! ($110.0000000000002) over budget,        100,          
               5,     66,J={2-1},     GOLD,MostDuplicatedBacktracking,              Hybrid,     205,      0.10,       160.00,      0.00,No (45.0 seconds) earlier,No ($0.1) savings,          1,By Cost Tree | Very short deadline! | By Performance Tree
               5,     67,J={3-1},   SILVER,MostDuplicatedBacktracking,              Hybrid,     205,      3.50,       201.50,      2.00,No (3.5 seconds) earlier,No ($1.5) savings,          3,By Cost Tree
               5,     68,J={4-1},     GOLD,MostDuplicatedBacktracking,              Hybrid,     250,      3.00,       220.00,      0.00,No (30.0 seconds) earlier,No ($3.0) savings,          2,By Cost Tree
               5,     69,J={5-1},     GOLD,MostDuplicatedBacktracking,              Hybrid,     105,      2.00,       103.10,      2.00,No (1.9000000000000057 seconds) earlier,No ($0.0) savings,          6,By Cost Tree | Very short deadline! | By Performance Tree
               5,     70,J={6-1},   SILVER,MostDuplicatedBacktracking,              Hybrid,     250,      2.50,       240.00,      0.00,No (10.000000000000028 seconds) earlier,No ($2.5) savings,          3,By Cost Tree
               5,     71,J={9-2},   BRONZE,MostDuplicatedBacktracking,              Hybrid,     305,      4.50,        88.00,      2.00,No (216.99999999999997 seconds) earlier,No ($2.5) savings,          1,By Cost Tree
               5,     72,J={50-1},   BRONZE,MostDuplicatedBacktracking,              Hybrid,     501,      8.00,       500.00,      4.00,No (1.0 seconds) earlier,No ($4.0) savings,          2,Accepted Perf Tree Solution! | By Cost Tree
               5,     73,J={100-3},   BRONZE,MostDuplicatedBacktracking,              Hybrid,     850,      5.00,       767.00,      2.00,No (82.99999999999989 seconds) earlier,No ($3.0) savings,          1,By Cost Tree
               5,     74,J={50-1},     GOLD,MostDuplicatedBacktracking,              Hybrid,     455,      2.00,       450.10,      2.00,No (4.899999999999977 seconds) earlier,No ($0.0) savings,         14,By Cost Tree
               5,     75,J={100-3},     GOLD,MostDuplicatedBacktracking,              Hybrid,     850,      5.00,       767.01,      2.00,No (82.9899999999999 seconds) earlier,No ($3.0) savings,          1,Accepted Perf Tree Solution! | By Cost Tree
               6,     79,J={2-1},     GOLD,MostDuplicatedBacktracking,              Public,     205,      0.10,        -1.00,     -1.00,YES! FAILED TO RUN,YES! FAILED TO RUN,          0,Very short deadline! | By Performance Tree | Very low budget! | By Cost Tree
               6,     80,J={3-1},   SILVER,MostDuplicatedBacktracking,              Public,     205,      3.50,        26.50,      2.00,No (178.5 seconds) earlier,No ($1.5) savings,          1,By Cost Tree
               6,     81,J={4-1},     GOLD,MostDuplicatedBacktracking,              Public,     250,      3.00,        37.00,      2.00,No (213.0 seconds) earlier,No ($1.0) savings,          1,By Cost Tree
               6,     82,J={5-1},     GOLD,MostDuplicatedBacktracking,              Public,     105,      2.00,        53.12,      2.00,No (51.88 seconds) earlier,No ($0.0) savings,          1,By Cost Tree
               6,     83,J={6-1},   SILVER,MostDuplicatedBacktracking,              Public,     250,      2.50,        59.00,      2.00,No (190.99999999999997 seconds) earlier,No ($0.5) savings,          1,By Cost Tree
               6,     84,J={9-2},   BRONZE,MostDuplicatedBacktracking,              Public,     305,      4.50,        88.00,      2.00,No (216.99999999999997 seconds) earlier,No ($2.5) savings,          1,By Cost Tree
               6,     85,J={50-1},   BRONZE,MostDuplicatedBacktracking,              Public,     501,      8.00,       500.00,      4.00,No (1.0 seconds) earlier,No ($4.0) savings,          2,Accepted Perf Tree Solution! | By Cost Tree
               6,     86,J={100-3},   BRONZE,MostDuplicatedBacktracking,              Public,     850,      5.00,       766.90,      2.00,No (83.09999999999991 seconds) earlier,No ($3.0) savings,          1,By Cost Tree
               6,     87,J={50-1},     GOLD,MostDuplicatedBacktracking,              Public,     455,      2.00,        -1.00,     -1.00,YES! FAILED TO RUN,YES! FAILED TO RUN,          0,Very low budget! | By Cost Tree
               6,     88,J={100-3},     GOLD,MostDuplicatedBacktracking,              Public,     850,      5.00,       767.00,      2.00,No (83.0 seconds) earlier,No ($3.0) savings,          1,By Cost Tree
