experimentNumber,RequestId,J,UserClass,Policy,CloudDeploymentModel,CloudletId,TaskType,CloudletLength,CloudletStatusString,SubmissionTime,ExecStartTime,FinalExecTime,FinishTime,InstanceVmId,VmType
               1,        5,J={9-2},     GOLD,BacktrackingCost,              Hybrid,        12,     Map,         10000,             Success,          1.10,         1.10,       106.40,    107.50,          38,openstack-micro
               1,        5,J={9-2},     GOLD,BacktrackingCost,              Hybrid,        15,     Map,         10000,             Success,          1.10,       107.50,       100.00,    207.50,          38,openstack-micro
               1,        5,J={9-2},     GOLD,BacktrackingCost,              Hybrid,        16,     Map,         10000,             Success,          1.10,       207.50,       100.00,    307.50,          38,openstack-micro
               1,        5,J={9-2},     GOLD,BacktrackingCost,              Hybrid,        17,     Map,         10000,             Success,          1.10,       307.50,       100.00,    407.50,          38,openstack-micro
               1,        5,J={9-2},     GOLD,BacktrackingCost,              Hybrid,        18,     Map,         10000,             Success,          1.10,       407.50,       100.00,    507.50,          38,openstack-micro
               1,        5,J={9-2},     GOLD,BacktrackingCost,              Hybrid,        19,     Map,         10000,             Success,          1.10,       507.50,       100.00,    607.50,          38,openstack-micro
               1,        5,J={9-2},     GOLD,BacktrackingCost,              Hybrid,        20,     Map,         10000,             Success,          1.10,       607.50,       100.00,    707.50,          38,openstack-micro
               1,        5,J={9-2},     GOLD,BacktrackingCost,              Hybrid,        21,     Map,         10000,             Success,          1.10,       707.50,       100.00,    807.50,          38,openstack-micro
               1,        5,J={9-2},     GOLD,BacktrackingCost,              Hybrid,        22,     Map,         10000,             Success,          1.10,       807.50,       100.00,    907.50,          38,openstack-micro
               1,        5,J={9-2},     GOLD,BacktrackingCost,              Hybrid,        13,  Reduce,          5000,             Success,        907.50,       907.50,        50.00,    957.50,          38,openstack-micro
               1,        5,J={9-2},     GOLD,BacktrackingCost,              Hybrid,        14,  Reduce,          1000,             Success,        907.50,       957.50,        10.00,    967.50,          38,openstack-micro
               2,        9,J={9-2},     GOLD,BacktrackingCostPerf,              Hybrid,        23,     Map,         10000,             Success,          1.10,         1.10,       106.40,    107.50,          86,openstack-micro
               2,        9,J={9-2},     GOLD,BacktrackingCostPerf,              Hybrid,        26,     Map,         10000,             Success,          1.10,       107.50,       100.00,    207.50,          86,openstack-micro
               2,        9,J={9-2},     GOLD,BacktrackingCostPerf,              Hybrid,        27,     Map,         10000,             Success,          1.10,       207.50,       100.00,    307.50,          86,openstack-micro
               2,        9,J={9-2},     GOLD,BacktrackingCostPerf,              Hybrid,        28,     Map,         10000,             Success,          1.10,       307.50,       100.00,    407.50,          86,openstack-micro
               2,        9,J={9-2},     GOLD,BacktrackingCostPerf,              Hybrid,        29,     Map,         10000,             Success,          1.10,       407.50,       100.00,    507.50,          86,openstack-micro
               2,        9,J={9-2},     GOLD,BacktrackingCostPerf,              Hybrid,        30,     Map,         10000,             Success,          1.10,       507.50,       100.00,    607.50,          86,openstack-micro
               2,        9,J={9-2},     GOLD,BacktrackingCostPerf,              Hybrid,        31,     Map,         10000,             Success,          1.10,       607.50,       100.00,    707.50,          86,openstack-micro
               2,        9,J={9-2},     GOLD,BacktrackingCostPerf,              Hybrid,        32,     Map,         10000,             Success,          1.10,       707.50,       100.00,    807.50,          86,openstack-micro
               2,        9,J={9-2},     GOLD,BacktrackingCostPerf,              Hybrid,        33,     Map,         10000,             Success,          1.10,       807.50,       100.00,    907.50,          86,openstack-micro
               2,        9,J={9-2},     GOLD,BacktrackingCostPerf,              Hybrid,        24,  Reduce,          5000,             Success,        907.50,       907.50,        50.00,    957.50,          86,openstack-micro
               2,        9,J={9-2},     GOLD,BacktrackingCostPerf,              Hybrid,        25,  Reduce,          1000,             Success,        907.50,       957.50,        10.00,    967.50,          86,openstack-micro
               3,       13,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,        34,     Map,         10000,             Success,          1.10,         1.10,       106.40,    107.50,         134,openstack-micro
               3,       13,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,        37,     Map,         10000,             Success,          1.10,       107.50,       100.00,    207.50,         134,openstack-micro
               3,       13,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,        38,     Map,         10000,             Success,          1.10,       207.50,       100.00,    307.50,         134,openstack-micro
               3,       13,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,        39,     Map,         10000,             Success,          1.10,       307.50,       100.00,    407.50,         134,openstack-micro
               3,       13,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,        40,     Map,         10000,             Success,          1.10,       407.50,       100.00,    507.50,         134,openstack-micro
               3,       13,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,        41,     Map,         10000,             Success,          1.10,       507.50,       100.00,    607.50,         134,openstack-micro
               3,       13,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,        42,     Map,         10000,             Success,          1.10,       607.50,       100.00,    707.50,         134,openstack-micro
               3,       13,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,        43,     Map,         10000,             Success,          1.10,       707.50,       100.00,    807.50,         134,openstack-micro
               3,       13,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,        44,     Map,         10000,             Success,          1.10,       807.50,       100.00,    907.50,         134,openstack-micro
               3,       13,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,        35,  Reduce,          5000,             Success,        907.50,       907.50,        50.00,    957.50,         134,openstack-micro
               3,       13,J={9-2},     GOLD,BacktrackingMultiCost,              Hybrid,        36,  Reduce,          1000,             Success,        907.50,       957.50,        10.00,    967.50,         134,openstack-micro
