           Time,  CLOUDLET_MIPS,   CLOUDLET_RAM,    CLOUDLET_IO
              0,             30,     0.03597573,              0
              5,         127.55,         5.3064,         17.345
             10,           56.1,       5.445927,           6.12
             15,           40.4,       5.662849,           5.05
             20,           10.1,       5.832898,          0.505
             25,          14.85,        5.87541,              0
             30,           15.3,       5.985506,          7.145
             35,           20.2,       6.208967,          3.535
             40,          35.35,       6.418258,           10.1
             45,              5,       6.418258,              0
             50,          15.15,        6.45641,           5.05
             55,          86.75,        6.64608,           2.55
             60,           10.1,       6.621009,              0
             65,           10.1,       6.621009,              0
             70,           5.05,       6.583947,              0
             75,             10,       6.583947,              0
             80,           5.05,       6.613379,              0
             85,             10,         6.6439,              1
             90,             15,       6.865182,            4.5
             95,              5,       6.863002,              0
            100,              0,        6.83248,              0
            105,           10.1,       6.804139,              0
            110,             15,       6.897884,              0
            115,              0,       7.184569,          0.505
            120,            5.1,       7.162768,              0
            125,              0,       7.160588,           2.04
            130,           19.6,       7.160588,              0
            135,             10,       7.160588,              0
            140,           10.1,       7.185659,              0
            145,           5.05,       7.185659,              0
            150,             15,        7.20637,              0
            155,           5.05,        7.20637,              0
            160,              5,       7.256513,              0
            165,              5,       7.290304,              0
            170,           10.1,       7.290304,              0
            175,           5.05,       7.357888,              0
            180,              5,       7.358978,              0
            185,              0,       7.358978,              0
            190,             15,       7.360068,              0
            195,             15,       7.358978,              0
            200,          24.75,       7.360068,              0
            205,             10,       7.361158,              0
            210,            5.1,       7.362248,              0
            215,             10,       7.362248,              0
            220,          25.25,       7.363338,              0
            225,          15.15,       7.462534,          1.515
            230,             50,       7.459263,              1
            235,             10,       7.457083,              0
            240,           20.2,       7.450543,              0
            245,           5.05,       7.473434,              0
            250,              0,       7.473434,              0
            255,            9.9,       7.473434,              0
            260,              0,       7.473434,          0.505
            265,           5.05,       7.472344,              0
            270,           5.05,       7.470164,              0
            275,            150,       7.499595,              4
            280,             15,       7.493055,              0
            285,           5.05,       7.493055,              0
            290,           5.05,       7.493055,              0
            295,            5.1,        7.58462,              0
            300,              0,        7.58571,              0
            305,            5.1,         7.5868,              0
            310,           10.1,         7.5868,          0.505
            315,          15.15,        7.59007,              0
            320,              0,        7.58789,              0
            325,           5.05,        7.58789,              0
